Time, XRP(Price), Cash, Market Value, Shares,
31221, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31292, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31362, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31433, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31504, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31574, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31645, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31715, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31786, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31857, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31927, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
31998, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32068, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32139, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32210, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32280, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32351, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32422, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32492, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32563, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32633, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32704, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32774, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32845, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32916, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
32986, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33057, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33127, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33198, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33269, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33339, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33410, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33480, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33551, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33622, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33692, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33763, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33833, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33904, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
33975, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34045, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34116, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34186, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34257, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34327, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34398, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34468, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34539, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34609, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34680, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
34751, 0.18959842, 538.4905016558365, 640.1725713841149, 3376.46575, 
